id,Geographic Area Name,Total Population,Female Total Population,Female Percentage,Male Percentage,Married percentage,50% below the poverty level,Poverty level percentage,High school graduate (includes equivalency) (18-24),Some college or associate's degree (18-24),Bachelor's degree or higher (18-24),High school graduate (includes equivalency) (>25),Some college or Associate's degree (>25),Bachelor's degree (>25),Graduate or professional degree (>25),High school graduate or higher (>25),Bachelor's degree or higher (>25),Total High school degree,Total Some college or associate's degree,Total Bachelor's degree,High school degree percentage,Some college or associate's degree percentage,Bachelor's degree percentage,Hispanic or Latino,Not Hispanic nor Latino,Hispanic or Latino population percentage,Not Hispanic nor Lation population percentage,White, Black or African American,American Indian and Alaska Native alone,Asian,Native Hawaiian and Other Pacific Islander alone, Some Other Race alone,
0500000US01001,"Autauga County, Alabama",55639,28587,51.38%,48.62%,52,3504,6.30%,1723,1720,612,11880,3323,6320,4401,33587,10721,13603,5043,6932,24.45%,9.06%,12%,2117,56688,3.80%,96.20%,41582,11352,184,873,22,185,
0500000US01003,"Baldwin County, Alabama",218289,112400,51.49%,48.51%,55.2,7250,3.32%,5569,6471,1360,42272,14357,31444,18192,140740,49636,47841,20828,32804,21.92%,9.54%,15%,12686,219081,5.81%,94.19%,186495,18001,1291,2029,122,775,
0500000US01005,"Barbour County, Alabama",25026,11870,47.43%,52.57%,38.5,3018,12.06%,875,585,84,6361,1385,1296,771,13300,2067,7236,1970,1380,28.91%,7.87%,6%,1510,23713,6.03%,93.97%,11086,11850,58,103,0,63,
0500000US01007,"Bibb County, Alabama",22374,10352,46.27%,53.73%,42.2,1875,8.38%,1104,351,24,7206,1087,1183,631,12931,1814,8310,1438,1207,37.14%,6.43%,5%,740,21553,3.31%,96.69%,16442,4390,39,26,9,47,
0500000US01009,"Blount County, Alabama",57755,29078,50.35%,49.65%,56,3834,6.64%,1833,1964,127,13975,5220,3540,1736,32976,5276,15808,7184,3667,27.37%,12.44%,6%,5771,53363,9.99%,90.01%,49764,826,188,174,11,100,
0500000US01011,"Bullock County, Alabama",10173,4595,45.17%,54.83%,34.1,1074,10.56%,496,383,44,2809,379,413,284,5084,697,3305,762,457,32.49%,7.49%,4%,503,9854,4.94%,95.06%,2281,7388,1,9,7,31,
0500000US01013,"Butler County, Alabama",19726,10676,54.12%,45.88%,43.7,1194,6.05%,710,446,52,6425,970,1396,809,11934,2205,7135,1416,1448,36.17%,7.18%,7%,260,18791,1.32%,98.68%,9679,8389,23,143,5,46,
0500000US01015,"Calhoun County, Alabama",114324,59399,51.96%,48.04%,47,7486,6.55%,3706,4751,849,27203,6080,8296,6594,67180,14890,30909,10831,9145,27.04%,9.47%,8%,5010,111431,4.38%,95.62%,79519,25365,386,1164,112,317,
0500000US01017,"Chambers County, Alabama",33427,17499,52.35%,47.65%,46.5,1628,4.87%,1149,1174,89,8829,2203,2491,942,19631,3433,9978,3377,2580,29.85%,10.10%,8%,1237,33535,3.70%,96.30%,18616,13441,71,385,11,115,
0500000US01019,"Cherokee County, Alabama",26035,13160,50.55%,49.45%,59.2,973,3.74%,947,650,59,7495,2098,1202,1274,15855,2476,8442,2748,1261,32.43%,10.56%,5%,400,24571,1.54%,98.46%,22563,987,109,55,1,46,
