,county,covid-19,Total Population,gender,poverty,education,ethnicity,white,black,american indian,asian,native hawaiian,income,marriage,non-white
0,"Autauga County, Alabama",4190,55639,28587,3504,6932,2117,41582,11352,184,873,22,46814,28932.28,12409
1,"Baldwin County, Alabama",13601,218289,112400,7250,32804,12686,186495,18001,1291,2029,122,50953,120495.528,21321
2,"Barbour County, Alabama",1514,25026,11870,3018,1380,1510,11086,11850,58,103,0,37850,9635.01,12011
3,"Bibb County, Alabama",1834,22374,10352,1875,1207,740,16442,4390,39,26,9,34300,9441.828,4455
4,"Blount County, Alabama",4641,57755,29078,3834,3667,5771,49764,826,188,174,11,38808,32342.8,1188
5,"Bullock County, Alabama",859,10173,4595,1074,457,503,2281,7388,1,9,7,31944,3468.993,7398
6,"Butler County, Alabama",1508,19726,10676,1194,1448,260,9679,8389,23,143,5,39988,8620.262,8555
7,"Calhoun County, Alabama",9494,114324,59399,7486,9145,5010,79519,25365,386,1164,112,40195,53732.28,26915
8,"Chambers County, Alabama",2341,33427,17499,1628,2580,1237,18616,13441,71,385,11,38508,15543.555,13897
9,"Cherokee County, Alabama",1414,26035,13160,973,1261,400,22563,987,109,55,1,37869,15412.72,1151
10,"Chilton County, Alabama",2970,44147,22627,2655,2510,4418,34878,4040,112,176,5,38778,22735.705,4328
11,"Choctaw County, Alabama",490,12755,6723,849,786,113,7039,5217,24,19,0,42231,5943.83,5260
12,"Clarke County, Alabama",2390,23866,12517,3023,1512,206,11970,10223,74,91,1,40822,10501.04,10388
13,"Clay County, Alabama",1141,13285,6887,631,725,449,11261,1942,45,46,4,37179,7094.19,2033
14,"Cleburne County, Alabama",1026,14952,7684,689,1159,284,13740,457,42,21,2,37734,8148.84,520
15,"Coffee County, Alabama",3594,52238,26423,3774,5240,4887,35759,8643,405,892,57,45262,27007.046,9940
16,"Colbert County, Alabama",4660,54957,28509,2912,4422,1732,43241,9222,223,432,9,41941,26873.973,9877
17,"Conecuh County, Alabama",837,12219,6268,1254,727,256,5835,5096,71,33,0,36908,5009.79,5200
18,"Coosa County, Alabama",517,10696,5197,500,688,201,6807,3000,25,8,0,34683,4973.64,3033
19,"Covington County, Alabama",2913,37096,19062,2857,2597,654,30657,4563,140,240,0,37930,18622.192,4943
20,"Crenshaw County, Alabama",954,13826,7237,699,1297,187,9333,3085,48,83,2,38161,6719.436,3216
21,"Cullman County, Alabama",7079,83345,42266,5084,6080,4146,78298,914,287,522,64,42659,45006.3,1723
22,"Dale County, Alabama",3325,49293,25028,4427,4549,3254,32602,10100,217,648,42,40111,23562.054,10965
23,"Dallas County, Alabama",2769,38184,20583,4431,2734,296,10363,26812,56,145,12,41195,13898.976,27013
24,"DeKalb County, Alabama",6900,71430,36123,5315,4446,11744,54529,1019,715,237,16,35100,40572.24,1971
25,"Elmore County, Alabama",6435,81526,42138,3076,9796,2793,62540,18126,270,669,28,47270,42311.994,19065
26,"Escambia County, Alabama",2661,36775,18085,4410,2352,751,22004,10922,1488,108,22,37137,15114.525,12518
27,"Etowah County, Alabama",10031,102721,53190,6589,8103,4895,77731,14999,332,921,39,39852,48073.428,16252
28,"Fayette County, Alabama",1430,16406,8344,1490,1079,396,13552,1720,43,49,1,38001,9466.262,1812
29,"Franklin County, Alabama",3270,31587,15956,2314,2252,6259,23581,1139,128,67,2,37362,15509.217,1334
30,"Geneva County, Alabama",1677,26383,13592,1497,1484,1296,21654,2231,166,86,7,38358,14695.331,2483
31,"Greene County, Alabama",672,8221,4322,1329,399,61,1285,6227,5,7,0,35992,2573.173,6239
32,"Hale County, Alabama",1440,14754,7748,1123,1071,149,5972,8313,34,18,5,41190,5709.798,8365
33,"Henry County, Alabama",1247,17123,8862,893,1527,334,11842,4232,50,73,0,45409,9177.928,4355
34,"Houston County, Alabama",7279,105319,54845,7680,10553,4481,68251,28232,321,1260,59,47072,49394.611,29813
35,"Jackson County, Alabama",5097,51765,26442,2944,3992,1681,45123,1624,680,214,2,40089,28056.63,2518
36,"Jefferson County, Alabama",52339,658615,347168,45576,102103,34856,324252,280112,1207,13043,311,58424,289131.985,294362
37,"Lamar County, Alabama",1056,13854,7012,996,744,208,11924,1421,28,6,3,37161,7508.868,1455
38,"Lauderdale County, Alabama",6478,92870,48272,4762,11224,3078,76491,9164,295,748,31,40729,46435.0,10207
