County,2020,Rank,State
United States,"59,510",--,
,,,
Alabama,"46,479",--,
Autauga,"46,814",9,Alabama
Baldwin,"50,953",4,Alabama
Barbour,"37,850",49,Alabama
Bibb,"34,300",66,Alabama
Blount,"38,808",36,Alabama
Bullock,"31,944",67,Alabama
Butler,"39,988",34,Alabama
Calhoun,"40,195",30,Alabama
Chambers,"38,508",38,Alabama
Cherokee,"37,869",48,Alabama
Chilton,"38,778",37,Alabama
Choctaw,"42,231",22,Alabama
Clarke,"40,822",26,Alabama
Clay,"37,179",53,Alabama
Cleburne,"37,734",51,Alabama
Coffee,"45,262",11,Alabama
Colbert,"41,941",23,Alabama
Conecuh,"36,908",56,Alabama
Coosa,"34,683",65,Alabama
Covington,"37,930",47,Alabama
Crenshaw,"38,161",44,Alabama
Cullman,"42,659",20,Alabama
Dale,"40,111",31,Alabama
Dallas,"41,195",24,Alabama
DeKalb,"35,100",64,Alabama
Elmore,"47,270",7,Alabama
Escambia,"37,137",55,Alabama
Etowah,"39,852",35,Alabama
Fayette,"38,001",46,Alabama
Franklin,"37,362",52,Alabama
Geneva,"38,358",40,Alabama
Greene,"35,992",61,Alabama
Hale,"41,190",25,Alabama
Henry,"45,409",10,Alabama
Houston,"47,072",8,Alabama
Jackson,"40,089",32,Alabama
Jefferson,"58,424",2,Alabama
Lamar,"37,161",54,Alabama
Lauderdale,"40,729",27,Alabama
Lawrence,"38,098",45,Alabama
Lee,"42,468",21,Alabama
Limestone,"47,695",6,Alabama
Lowndes,"44,921",13,Alabama
Macon,"37,834",50,Alabama
Madison,"57,128",3,Alabama
Marengo,"43,854",16,Alabama
Marion,"36,330",59,Alabama
Marshall,"40,045",33,Alabama
Mobile,"42,823",19,Alabama
Monroe,"38,192",43,Alabama
Montgomery,"47,776",5,Alabama
Morgan,"44,679",14,Alabama
Perry,"36,217",60,Alabama
Pickens,"36,861",57,Alabama
Pike,"40,342",29,Alabama
Randolph,"35,208",63,Alabama
Russell,"36,526",58,Alabama
St. Clair,"43,279",17,Alabama
Shelby,"59,588",1,Alabama
Sumter,"35,310",62,Alabama
Talladega,"38,300",41,Alabama
Tallapoosa,"45,058",12,Alabama
Tuscaloosa,"42,868",18,Alabama
Walker,"44,095",15,Alabama
Washington,"40,371",28,Alabama
Wilcox,"38,273",42,Alabama
Winston,"38,382",39,Alabama
,,,
Alaska,"63,502",--,
Aleutians East Borough,"59,574",20,Alaska
Aleutians West Census Area,"59,674",19,Alaska
Anchorage Municipality,"70,477",8,Alaska
Bethel Census Area,"47,936",29,Alaska
Bristol Bay Borough,"152,678",1,Alaska
Chugach Census Area,"69,369",9,Alaska
Copper River Census Area,"49,783",26,Alaska
Denali Borough,"72,967",4,Alaska
Dillingham Census Area,"60,792",18,Alaska
Fairbanks North Star Borough,"62,254",17,Alaska
Haines Borough,"64,956",13,Alaska
Hoonah-Angoon Census Area,"64,708",14,Alaska
Juneau City and Borough,"74,162",3,Alaska
Kenai Peninsula Borough,"56,139",21,Alaska
Ketchikan Gateway Borough,"70,574",7,Alaska
Kodiak Island Borough,"66,988",10,Alaska
Kusilvak Census Area,"33,968",30,Alaska
Lake and Peninsula Borough,"63,397",16,Alaska
Matanuska-Susitna Borough,"50,386",25,Alaska
Nome Census Area,"55,950",22,Alaska
North Slope Borough,"90,809",2,Alaska
Northwest Arctic Borough,"52,440",24,Alaska
Petersburg Borough,"72,412",5,Alaska
Prince of Wales-Hyder Census Area,"48,970",27,Alaska
Sitka City and Borough,"70,996",6,Alaska
Skagway Municipality,"66,548",11,Alaska
Southeast Fairbanks Census Area,"54,808",23,Alaska
Valdez-Cordova Census Area,(NA),--,Alaska
Wrangell City and Borough,"48,549",28,Alaska
Yakutat City and Borough,"66,119",12,Alaska
Yukon-Koyukuk Census Area,"63,675",15,Alaska
,,,
Arizona,"49,648",--,
Apache,"38,915",11,Arizona
Cochise,"45,786",4,Arizona
Coconino,"53,036",2,Arizona
Gila,"44,201",6,Arizona
Graham,"35,072",15,Arizona
Greenlee,"44,050",7,Arizona
La Paz,"39,482",10,Arizona
Maricopa,"53,521",1,Arizona
Mohave,"36,529",12,Arizona
Navajo,"36,169",13,Arizona
Pima,"48,373",3,Arizona
Pinal,"35,949",14,Arizona
Santa Cruz,"42,204",8,Arizona
Yavapai,"44,490",5,Arizona
Yuma,"40,800",9,Arizona
,,,
Arkansas,"47,235",--,
Arkansas,"50,534",3,Arkansas
Ashley,"38,489",36,Arkansas
Baxter,"39,950",28,Arkansas
Benton,"94,289",1,Arkansas
Boone,"38,108",41,Arkansas
Bradley,"42,037",14,Arkansas
Calhoun,"38,509",35,Arkansas
Carroll,"34,692",53,Arkansas
Chicot,"44,762",9,Arkansas
Clark,"39,450",30,Arkansas
Clay,"39,157",32,Arkansas
Cleburne,"41,656",19,Arkansas
Cleveland,"40,366",27,Arkansas
Columbia,"38,806",33,Arkansas
Conway,"40,633",24,Arkansas
Craighead,"40,728",22,Arkansas
Crawford,"35,919",49,Arkansas
Crittenden,"41,474",21,Arkansas
Cross,"41,715",17,Arkansas
Dallas,"40,611",25,Arkansas
Desha,"44,920",8,Arkansas
Drew,"40,726",23,Arkansas
Faulkner,"41,943",15,Arkansas
Franklin,"33,885",59,Arkansas
Fulton,"31,840",71,Arkansas
Garland,"44,358",10,Arkansas
Grant,"41,674",18,Arkansas
Greene,"38,560",34,Arkansas
Hempstead,"33,760",60,Arkansas
Hot Spring,"34,110",56,Arkansas
Howard,"34,751",52,Arkansas
Independence,"38,266",39,Arkansas
Izard,"32,606",66,Arkansas
Jackson,"41,646",20,Arkansas
Jefferson,"39,443",31,Arkansas
Johnson,"30,728",74,Arkansas
Lafayette,"38,307",38,Arkansas
Lawrence,"38,065",42,Arkansas
Lee,"32,359",68,Arkansas
Lincoln,"29,008",75,Arkansas
Little River,"37,075",45,Arkansas
Logan,"34,433",55,Arkansas
Lonoke,"43,537",12,Arkansas
Madison,"34,012",57,Arkansas
Marion,"33,493",62,Arkansas
Miller,"37,065",46,Arkansas
Mississippi,"37,730",43,Arkansas
Monroe,"40,475",26,Arkansas
Montgomery,"32,125",70,Arkansas
Nevada,"35,808",50,Arkansas
Newton,"32,731",65,Arkansas
Ouachita,"41,877",16,Arkansas
Perry,"38,404",37,Arkansas
Phillips,"38,155",40,Arkansas
Pike,"33,920",58,Arkansas
Poinsett,"37,307",44,Arkansas
Polk,"32,573",67,Arkansas
Pope,"36,617",47,Arkansas
Prairie,"42,843",13,Arkansas
