,State,Total Population,income,covid-19,poverty ratio,marriage ratio,education ratio,laborforce ratio,ethnicity ratio,gender ratio,white ratio,black ratio,poverty,cases,marriage,education,gender,laborforce,white,black,ethnicity
0,Alabama,4771614.0,46908,7.57,16.0,57.86,27.8,47.16,5.3,51.6,65.3,26.8,763458.24,361211.17980000004,2760855.8604,1326508.692,2462152.824,2250293.1624,3115863.9420000003,1278792.5520000001,252895.542
1,Alaska,719445.0,64780,6.5,10.3,53.71,31.9,48.86,6.8,47.9,57.5,3.28,74102.835,46763.925,386413.9095,229502.95500000002,344614.15499999997,351520.827,413680.87499999994,23597.796,48922.26
2,Arizona,7012999.0,48950,7.47,14.1,55.23,33.0,49.96,30.7,50.3,53.4,6.2,988832.8589999999,523871.02530000004,3873279.3477000003,2314289.67,3527538.497,3503694.3004,3744941.466,434805.938,2152990.693
3,Arkansas,2923585.0,47109,7.7,16.1,59.66,24.9,45.59,8.5,50.9,68.5,16.5,470697.185,225116.04499999998,1744210.811,727972.665,1488104.7650000001,1332862.4015000002,2002655.725,482391.525,248504.725
4,California,38589882.0,71480,5.98,12.6,52.01,36.9,48.67,39.4,50.3,34.7,7.1,4862325.132,2307674.9436000003,20070597.628200002,14239666.458,19410710.646,18781695.5694,13390689.054000001,2739881.622,15204413.507999998
5,Colorado,5563823.0,63522,6.03,9.8,56.22,44.2,56.38,21.9,49.6,65.1,5.5,545254.654,335498.5269,3127981.2906000004,2459209.766,2759656.208,3136883.4074000004,3622048.7729999996,306010.265,1218477.2369999997
6,Connecticut,3466935.0,79771,5.36,9.8,55.94,42.4,53.3,17.3,51.2,63.2,13.0,339759.63,185827.71600000001,1939403.439,1469980.44,1775070.72,1847876.3549999997,2191102.92,450701.55,599779.755
7,Delaware,941266.0,56768,6.1,11.4,56.5,34.7,52.64,10.5,51.6,58.6,24.7,107304.32400000001,57417.225999999995,531815.2899999999,326619.302,485693.256,495482.4224,551581.8759999999,232492.702,98832.93
8,District of Columbia,669089.0,87064,4.33,15.5,38.01,63.6,56.29,11.3,52.6,38.0,44.2,103708.795,28971.5537,254320.7289,425540.604,351940.814,376630.1981,254253.82,295737.338,75607.057
9,Florida,20793628.0,55337,6.36,13.3,58.37,33.7,48.99,26.5,51.1,51.5,17.2,2765552.524,1322474.7408,12137240.6636,7007452.636000001,10625543.908,10186798.3572,10708718.42,3576504.016,5510311.42
10,Georgia,10238369.0,51165,6.29,14.3,54.07,34.8,50.51,10.5,51.4,50.1,33.0,1464086.7670000002,643993.4101,5535886.118299999,3562952.4119999995,5262521.666,5171400.1819,5129422.869,3378661.77,1075028.7449999999
11,Hawaii,1381577.0,60729,1.55,9.3,56.01,35.5,47.98,9.5,49.9,21.6,3.2,128486.66100000002,21414.4435,773821.2776999999,490459.83499999996,689406.923,662880.6445999999,298420.63200000004,44210.464,131249.815
12,Idaho,1722972.0,48616,8.21,11.9,58.78,30.9,52.93,13.0,49.9,81.7,1.5,205033.668,141456.0012,1012762.9416,532398.348,859763.028,911969.0795999999,1407668.124,25844.579999999998,223986.36000000002
13,Illinois,12418504.0,62977,7.78,12.0,54.06,37.6,50.65,18.2,50.9,58.3,15.5,1490220.48,966159.6112,6713443.262399999,4669357.504,6321018.536,6289972.276,7239987.8319999995,1924868.1199999999,2260167.728
14,Indiana,6491632.0,51340,7.92,12.9,56.93,28.9,51.41,8.2,50.7,75.5,11.2,837420.528,514137.2544,3695686.0976,1876081.6479999998,3291257.424,3337348.0112,4901182.16,727062.7839999999,532313.8239999999
15,Iowa,3051284.0,55218,9.23,11.1,58.21,29.5,54.78,6.8,50.2,82.7,5.4,338692.524,281633.51320000004,1776152.4164000002,900128.7799999999,1531744.568,1671493.3752000001,2523411.8680000002,164769.336,207487.312
16,Kansas,2828498.0,56073,7.97,11.4,57.97,35.1,52.82,13.0,50.2,72.2,7.6,322448.772,225431.29059999998,1639680.2906,992802.7980000001,1419905.996,1494012.6436,2042175.5559999999,214965.848,367704.74
17,Kentucky,4322881.0,46507,6.22,16.6,59.55,27.4,46.81,4.6,50.7,81.3,9.7,717598.246,268883.1982,2574275.6355,1184469.3939999999,2191700.667,2023540.5961,3514502.2529999996,419319.45699999994,198852.52599999998
18,Louisiana,4532187.0,50037,6.96,18.6,53.12,27.2,45.5,6.2,51.2,55.8,33.1,842986.7820000001,315440.2152,2407497.7344,1232754.864,2320479.744,2062145.085,2528960.346,1500153.897,280995.594
19,Maine,1304038.0,54225,1.86,11.1,62.59,33.5,52.37,2.0,51.0,90.2,2.7,144748.218,24255.1068,816197.3842,436852.73000000004,665059.38,682924.7006,1176242.276,35209.026000000005,26080.760000000002
20,Maryland,5894835.0,68258,4.7,9.0,54.02,43.1,53.38,11.8,51.5,47.2,32.0,530535.15,277057.245,3184389.867,2540673.885,3035840.025,3146662.9230000004,2782362.12,1886347.2,695590.53
